year,1
2003,4633
2004,3151
2005,3473
2006,3627
2007,2540
2008,3341
2009,3847
2010,2822
2011,3182
2012,2641
2013,2950
2014,2489
2015,1726
2016,1810
2017,1728
2018,2443
2019,1630
2020,1099
2021,1530
2022,1469
2023,1086
